anchor_id,anchor_label,gdelt_theme_expected,source,date,topic_id,keywords,probe_hits,velocity,velocity_z
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2020-01-22,181,"grants, sports, morrison, bridget, mckenzie",0,0.0064655172413793,5.04785308991021
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-12-23,225,"soleimani, iran, qassem, killing, trump",0,0.0042372881355932,4.964454574187481
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2020-01-22,228,"sports, grants, sport, know, government",0,0.0047413793103448,4.7815988805153316
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2020-01-22,245,"kobe, bryant, lakers, lebron, los",0,0.0068965517241379,4.765916136383622
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-01,387,"police, shooting, community, members, teen",0,0.0043859649122807,4.717005001546991
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-12-23,99,"island, white, volcano, new, zealand",0,0.022457627118644,4.518831923616404
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2020-01-22,583,"coronavirus, china, wuhan, chinese, toll",0,0.0137960232415545,4.513462759096286
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-25,452,"westpac, ceo, laundering, money, board",0,0.0066960683603052,4.352478360949419
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-01,216,"baghdadi, abu, bakr, state, islamic",0,0.0065954912427758,4.21298182880251
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-25,345,"casey, hears, developer, corruption, councillor",0,0.0040124832813196,4.004258466079107
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-12-23,139,"bushfire, bushfires, nsw, fires, victoria",4,0.0846710805084745,3.969225118376671
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2020-01-22,270,"gutwein, peter, premier, cabinet, analysis",0,0.0030172413793103,3.923276077029441
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-25,93,"measles, samoa, crisis, deadly, outbreak",0,0.0049193783199358,3.905414828224973
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-25,321,"whytes, public, corruption, whyte, police",0,0.0026749888542131,3.8786117418168273
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2020-01-22,28,"monday, thursday, wednesday, tuesday, friday",0,0.0060439720867762,3.702685548944491
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-01,50,"morning, briefing, friday, news, nov",0,0.0030701754385964,3.678102504156509
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-11-01,227,"climb, closed, closure, permanently, traditional",0,0.004876355461518,3.628333129540932
black_summer,Black Summer bushfires,ENV_FIRES,spike_events,2019-12-23,408,"christmas, shopping, westfield, crush, season",0,0.0088202001297976,3.6091630749970975
